simulation_time,seed,inflow_pass,inflow_exit,total_generated_vehicles,total_departed_vehicles,r_pass_departed_vehicles,r_exit_departed_vehicles,running_vehicles,exited_vehicles,canceled_vehicles,traffic volume,average_travel_time,average_r_pass_travel_time,average_r_exit_travel_time,average_speed,average_r_pass_speed,average_r_exit_speed,fairness_index,min_TTC,TET,total_collisions,total_vehicles_involved,max_tail_position
600,1,2940,1260,700,700,490,210,95,605,0,4200,79.4667768595041,73.39373549884,94.5097701149426,21.186491571776,22.6218282925312,17.6311460163423,84,0,65.1000000000006,0,0,267.022263692386
600,2,2940,1260,700,700,490,210,87,613,0,4200,80.4929853181077,73.059540229885,98.658988764045,21.0594886732965,22.7292958343917,16.9787801616311,117,0,54.8000000000005,0,0,287.315382853219
600,3,2940,1260,700,700,490,210,97,603,0,4200,76.5724709784411,71.5321759259259,89.3058479532164,21.8748962387767,23.1785396272144,18.5814813627234,73,0,19.9,0,0,0
600,4,2940,1260,700,700,490,210,98,602,0,4200,78.7918604651162,72.6971830985915,93.54375,21.3537039245978,22.8038442860069,17.8437050952779,105,0.066578761691375,59.3000000000006,0,0,252.690979523108
600,5,2940,1260,700,700,490,210,92,608,0,4200,81.058552631579,74.0025761124122,97.7044198895028,20.9013127380191,22.4818128890749,17.1727295087327,141,0,33.5000000000002,1,2,257.628918812817
600,6,2940,1260,700,700,490,210,107,593,0,4200,77.3455311973019,72.0635933806147,90.4882352941176,21.6998918521705,23.0347810506229,18.378373434845,75,0,38.5000000000003,0,0,160.288625221045
600,7,2940,1260,700,700,490,210,97,603,0,4200,80.1417910447763,73.6551401869159,96.0062857142857,21.0452281408379,22.5317781586309,17.4095515258927,89,0,36.6000000000002,0,0,308.355093929893
600,8,2940,1260,700,700,490,210,83,617,0,4200,83.9256077795786,76.2680365296804,102.66312849162,20.2107697401973,21.8130845023115,16.2900218865325,107,0,49.6000000000004,0,0,333.805707854895
600,9,2940,1260,700,700,490,210,94,606,0,4200,83.0257425742575,74.7377880184332,103.938372093023,20.5887969089896,22.2884905098899,16.3000351485786,99,0,47.2000000000004,1,2,409.900766315713
600,10,2940,1260,700,700,490,210,84,616,0,4200,82.9415584415585,75.7018348623853,100.477777777778,20.455067650135,21.9914768720678,16.7335430903421,137,0,50.3000000000004,1,2,323.731807602694
,,,,,,,,,,,,,,,,,,,,,,,
600,5.5,2940,1260,700,700,490,210,93.4,606.6,0,4200,80.3762877290221,73.7111603843684,96.7296576092531,21.0375647438796,22.5474932022742,17.3319367230898,102.7,0.0066578761691375,45.4800000000004,0.3,0.6,260.073954580577
