simulation_time,seed,inflow_pass,inflow_exit,total_generated_vehicles,total_departed_vehicles,r_pass_departed_vehicles,r_exit_departed_vehicles,running_vehicles,exited_vehicles,canceled_vehicles,traffic volume,average_travel_time,average_r_pass_travel_time,average_r_exit_travel_time,average_speed,average_r_pass_speed,average_r_exit_speed,fairness_index,min_TTC,TET,total_collisions,total_vehicles_involved,max_tail_position
600,1,2520,1680,700,700,420,280,141,559,0,4200,93.5279069767442,71.7394594594595,136.18253968254,19.5972028246566,23.122101068044,12.69660837993,121,0,53.8000000000005,0,0,1256.08223287664
600,2,2520,1680,700,700,420,280,142,558,0,4200,95.1467741935484,72.7864498644987,138.802645502645,19.4862807233269,22.8215008612991,12.9746604539525,120,0,69.7000000000003,0,0,1269.83975423414
600,3,2520,1680,700,700,420,280,134,566,0,4200,93.9477031802121,71.1965333333333,138.616230366492,19.6718993030104,23.2717449814503,12.6041394631416,104,0.0550052451590509,59.2000000000006,0,0,1267.66210253672
600,4,2520,1680,700,700,420,280,141,559,0,4200,94.804114490161,72.4288828337875,137.5734375,19.3982739782619,22.9236484014613,12.659667658917,134,0,63.2000000000006,0,0,1244.56396564005
600,5,2520,1680,700,700,420,280,142,558,0,4200,93.1844086021505,71.8225543478261,134.558947368421,19.7602009958311,23.143820981205,13.206663339949,114,0,58.8000000000006,0,0,1494.9
600,6,2520,1680,700,700,420,280,140,560,0,4200,95.7001785714287,72.556334231806,141.130687830688,19.347611768154,22.8831456754781,12.4074896537771,123,0,74.5,0,0,1427.99758321648
600,7,2520,1680,700,700,420,280,139,561,0,4200,90.4795008912656,71.9412398921833,126.677894736842,20.03168554543,23.100260283078,14.0398896103384,139,0,53.0000000000005,0,0,1324.65582097112
600,8,2520,1680,700,700,420,280,139,561,0,4200,100.419786096257,75.1975806451613,150.063492063492,18.6446337975015,22.0953335167514,11.8527803818348,153,0,73.4000000000001,0,0,1352.68815491238
600,9,2520,1680,700,700,420,280,146,554,0,4200,97.2871841155235,72.3291891891892,147.474456521739,19.4739120477852,23.0270824859347,12.3289497536803,116,0,59.4000000000006,0,0,1494.9
600,10,2520,1680,700,699,420,279,137,562,1,4194,92.3763345195729,72.5956873315364,130.798429319372,19.6100579246633,22.862363905145,13.2927515437277,178,0,64.3000000000006,0,0,1178.55017562956
,,,,,,,,,,,,,,,,,,,,,,,
600,5.5,2520,1680,700,699.9,420,279.9,140.1,559.8,0.1,4199.4,94.6873891636863,72.4593911128781,138.187876089223,19.5021758908621,22.9251002159847,12.8063600239248,130.2,0.00550052451590509,62.9300000000004,0,0,1331.18397900171
